VA Index	TX 안테나	RX 안테나	가상 X (mm)	가상 Y (mm)
0	S1-TX1	S1-RX1	73.71	89.37
1	S1-TX1	S1-RX2	75.54	91.21
2	S1-TX1	S1-RX3	77.28	94.84
3	S1-TX1	S1-RX4	79.11	96.62
4	S1-TX1	S2-RX1	71.66	114.49
5	S1-TX1	S2-RX2	73.53	114.58
6	S1-TX1	S2-RX3	76.99	114.48
7	S1-TX1	S2-RX4	80.75	114.66
8	S1-TX1	S3-RX1	80.88	98.47
9	S1-TX1	S3-RX2	82.77	100.25
10	S1-TX1	S3-RX3	84.62	100.20
11	S1-TX1	S3-RX4	88.33	100.26
12	S1-TX1	S4-RX1	62.67	103.75
13	S1-TX1	S4-RX2	64.47	107.41
14	S1-TX1	S4-RX3	66.26	110.93
15	S1-TX1	S4-RX4	69.90	112.68
16	S1-TX2	S1-RX1	75.56	85.59
17	S1-TX2	S1-RX2	77.39	87.43
18	S1-TX2	S1-RX3	79.13	91.06
19	S1-TX2	S1-RX4	80.96	92.84
20	S1-TX2	S2-RX1	73.51	110.71
21	S1-TX2	S2-RX2	75.38	110.80
22	S1-TX2	S2-RX3	78.84	110.70
23	S1-TX2	S2-RX4	82.60	110.88
24	S1-TX2	S3-RX1	82.73	94.69
25	S1-TX2	S3-RX2	84.62	96.47
26	S1-TX2	S3-RX3	86.47	96.42
27	S1-TX2	S3-RX4	90.18	96.48
28	S1-TX2	S4-RX1	64.52	99.97
29	S1-TX2	S4-RX2	66.32	103.63
30	S1-TX2	S4-RX3	68.11	107.15
31	S1-TX2	S4-RX4	71.75	108.90
32	S1-TX3	S1-RX1	77.56	83.69
33	S1-TX3	S1-RX2	79.39	85.53
34	S1-TX3	S1-RX3	81.13	89.16
35	S1-TX3	S1-RX4	82.96	90.94
36	S1-TX3	S2-RX1	75.51	108.81
37	S1-TX3	S2-RX2	77.38	108.90
38	S1-TX3	S2-RX3	80.84	108.80
39	S1-TX3	S2-RX4	84.60	108.98
40	S1-TX3	S3-RX1	84.73	92.79
41	S1-TX3	S3-RX2	86.62	94.57
42	S1-TX3	S3-RX3	88.47	94.52
43	S1-TX3	S3-RX4	92.18	94.58
44	S1-TX3	S4-RX1	66.52	98.07
45	S1-TX3	S4-RX2	68.32	101.73
46	S1-TX3	S4-RX3	70.11	105.25
47	S1-TX3	S4-RX4	73.75	107.00
48	S2-TX1	S1-RX1	60.58	70.34
49	S2-TX1	S1-RX2	62.41	72.18
50	S2-TX1	S1-RX3	64.15	75.81
51	S2-TX1	S1-RX4	65.98	77.59
52	S2-TX1	S2-RX1	58.53	95.46
53	S2-TX1	S2-RX2	60.40	95.55
54	S2-TX1	S2-RX3	63.86	95.45
55	S2-TX1	S2-RX4	67.62	95.63
56	S2-TX1	S3-RX1	67.75	79.44
57	S2-TX1	S3-RX2	69.64	81.22
58	S2-TX1	S3-RX3	71.49	81.17
59	S2-TX1	S3-RX4	75.20	81.23
60	S2-TX1	S4-RX1	49.54	84.72
61	S2-TX1	S4-RX2	51.34	88.38
62	S2-TX1	S4-RX3	53.13	91.90
63	S2-TX1	S4-RX4	56.77	93.65
64	S2-TX2	S1-RX1	62.51	68.45
65	S2-TX2	S1-RX2	64.34	70.29
66	S2-TX2	S1-RX3	66.08	73.92
67	S2-TX2	S1-RX4	67.91	75.70
68	S2-TX2	S2-RX1	60.46	93.57
69	S2-TX2	S2-RX2	62.33	93.66
70	S2-TX2	S2-RX3	65.79	93.56
71	S2-TX2	S2-RX4	69.55	93.74
72	S2-TX2	S3-RX1	69.68	77.55
73	S2-TX2	S3-RX2	71.57	79.33
74	S2-TX2	S3-RX3	73.42	79.28
75	S2-TX2	S3-RX4	77.13	79.34
76	S2-TX2	S4-RX1	51.47	82.83
77	S2-TX2	S4-RX2	53.27	86.49
78	S2-TX2	S4-RX3	55.06	90.01
79	S2-TX2	S4-RX4	58.70	91.76
80	S2-TX3	S1-RX1	64.36	64.61
81	S2-TX3	S1-RX2	66.19	66.45
82	S2-TX3	S1-RX3	67.93	70.08
83	S2-TX3	S1-RX4	69.76	71.86
84	S2-TX3	S2-RX1	62.31	89.73
85	S2-TX3	S2-RX2	64.18	89.82
86	S2-TX3	S2-RX3	67.64	89.72
87	S2-TX3	S2-RX4	71.40	89.90
88	S2-TX3	S3-RX1	71.53	73.71
89	S2-TX3	S3-RX2	73.42	75.49
90	S2-TX3	S3-RX3	75.27	75.44
91	S2-TX3	S3-RX4	78.98	75.50
92	S2-TX3	S4-RX1	53.32	78.99
93	S2-TX3	S4-RX2	55.12	82.65
94	S2-TX3	S4-RX3	56.91	86.17
95	S2-TX3	S4-RX4	60.55	87.92
96	S3-TX1	S1-RX1	79.40	79.85
97	S3-TX1	S1-RX2	81.23	81.69
98	S3-TX1	S1-RX3	82.97	85.32
99	S3-TX1	S1-RX4	84.80	87.10
100	S3-TX1	S2-RX1	77.35	104.97
101	S3-TX1	S2-RX2	79.22	105.06
102	S3-TX1	S2-RX3	82.68	104.96
103	S3-TX1	S2-RX4	86.44	105.14
104	S3-TX1	S3-RX1	86.57	88.95
105	S3-TX1	S3-RX2	88.46	90.73
106	S3-TX1	S3-RX3	90.31	90.68
107	S3-TX1	S3-RX4	94.02	90.74
108	S3-TX1	S4-RX1	68.36	94.23
109	S3-TX1	S4-RX2	70.16	97.89
110	S3-TX1	S4-RX3	71.95	101.41
111	S3-TX1	S4-RX4	75.59	103.16
112	S3-TX2	S1-RX1	83.25	77.91
113	S3-TX2	S1-RX2	85.08	79.75
114	S3-TX2	S1-RX3	86.82	83.38
115	S3-TX2	S1-RX4	88.65	85.16
116	S3-TX2	S2-RX1	81.20	103.03
117	S3-TX2	S2-RX2	83.07	103.12
118	S3-TX2	S2-RX3	86.53	103.02
119	S3-TX2	S2-RX4	90.29	103.20
120	S3-TX2	S3-RX1	90.42	87.01
121	S3-TX2	S3-RX2	92.31	88.79
122	S3-TX2	S3-RX3	94.16	88.74
123	S3-TX2	S3-RX4	97.87	88.80
124	S3-TX2	S4-RX1	72.21	92.29
125	S3-TX2	S4-RX2	74.01	95.95
126	S3-TX2	S4-RX3	75.80	99.47
127	S3-TX2	S4-RX4	79.44	101.22
128	S3-TX3	S1-RX1	85.19	76.01
129	S3-TX3	S1-RX2	87.02	77.85
130	S3-TX3	S1-RX3	88.76	81.48
131	S3-TX3	S1-RX4	90.59	83.26
132	S3-TX3	S2-RX1	83.14	101.13
133	S3-TX3	S2-RX2	85.01	101.22
134	S3-TX3	S2-RX3	88.47	101.12
135	S3-TX3	S2-RX4	92.23	101.30
136	S3-TX3	S3-RX1	92.36	85.11
137	S3-TX3	S3-RX2	94.25	86.89
138	S3-TX3	S3-RX3	96.10	86.84
139	S3-TX3	S3-RX4	99.81	86.90
140	S3-TX3	S4-RX1	74.15	90.39
141	S3-TX3	S4-RX2	75.95	94.05
142	S3-TX3	S4-RX3	77.74	97.57
143	S3-TX3	S4-RX4	81.38	99.32
144	S4-TX1	S1-RX1	54.91	78.03
145	S4-TX1	S1-RX2	56.74	79.87
146	S4-TX1	S1-RX3	58.48	83.50
147	S4-TX1	S1-RX4	60.31	85.28
148	S4-TX1	S2-RX1	52.86	103.15
149	S4-TX1	S2-RX2	54.73	103.24
150	S4-TX1	S2-RX3	58.19	103.14
151	S4-TX1	S2-RX4	61.95	103.32
152	S4-TX1	S3-RX1	62.08	87.13
153	S4-TX1	S3-RX2	63.97	88.91
154	S4-TX1	S3-RX3	65.82	88.86
155	S4-TX1	S3-RX4	69.53	88.92
156	S4-TX1	S4-RX1	43.87	92.41
157	S4-TX1	S4-RX2	45.67	96.07
